"STATE/UT","Year","Cases Pending Investigation from Previous Year","Cases reported during the year","No. of cases withdrawn by the Govt. during investigation","Cases not investigated or in which investigation was refused","Cases declared false on account of mistake of fact or of law","Cases in which chargesheets were laid","Cases in which charge-sheets were not laid but final report submitted during the year","Total cases (Chargesheeted + Final Report submitted)","Cases pending investigation at the end of the year","Cases pending trial from the previous year","Cases sent for trial during the year","No. of cases withdrawn by the Govt.","Total cases for trial during the year","Cases compounded or withdrawn","Cases in which trials were completed","Cases convicted","Cases acquitted or discharged","Cases pending trial at the end of the year"
"TOTAL (ALL-INDIA)","2004",2511,7026,2,15,365,5767,347,6114,3041,23163,5767,0,28930,104,5406,1735,3671,23420
"ANDHRA PRADESH","2005",295,443,0,0,20,473,7,480,238,1049,473,0,1522,3,547,118,429,972
"ARUNACHAL PRADESH","2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2005",121,99,0,0,6,61,12,73,141,151,61,0,212,0,38,15,23,174
"BIHAR","2005",1128,1014,0,0,46,680,53,733,1363,2771,680,0,3451,3,501,110,391,2947
"CHHATTISGARH","2005",2,100,0,0,0,91,1,92,10,242,91,0,333,3,62,26,36,268
"GOA","2005",3,2,0,0,0,3,0,3,2,5,3,0,8,0,2,0,2,6
"GUJARAT","2005",5,48,0,0,0,48,0,48,5,496,48,0,544,0,65,10,55,479
"HARYANA","2005",24,212,0,0,31,185,3,188,17,521,185,0,706,0,248,52,196,458
"HIMACHAL PRADESH","2005",2,2,0,0,1,1,0,1,2,29,1,0,30,0,4,1,3,26
"JAMMU & KASHMIR","2005",4,5,0,0,0,7,0,7,2,18,7,0,25,0,2,1,1,23
"JHARKHAND","2005",161,257,0,0,2,166,18,184,232,515,166,0,681,10,86,71,15,585
"KARNATAKA","2005",68,261,0,9,2,233,8,241,77,682,233,0,915,0,324,63,261,591
"KERALA","2005",22,21,0,0,0,18,0,18,25,158,18,0,176,0,34,10,24,142
"MADHYA PRADESH","2005",114,739,0,0,4,715,7,722,127,1620,715,0,2335,19,738,262,476,1578
"MAHARASHTRA","2005",70,341,0,0,1,336,2,338,72,3005,336,0,3341,2,300,34,266,3039
"MANIPUR","2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2005",3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"MIZORAM","2005",0,4,0,0,0,4,0,4,0,0,4,0,4,0,2,2,0,2
"NAGALAND","2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2005",116,334,0,0,10,268,4,272,168,948,268,0,1216,0,210,35,175,1006
"PUNJAB","2005",72,99,0,0,12,89,4,93,66,271,89,0,360,0,65,28,37,295
"RAJASTHAN","2005",70,361,0,0,87,281,3,284,60,1284,281,0,1565,4,262,119,143,1299
"SIKKIM","2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2005",84,215,0,0,5,212,2,214,80,607,212,6,813,0,242,71,171,571
"TRIPURA","2005",19,34,0,0,0,28,9,37,16,51,28,0,79,0,13,7,6,66
"UTTAR PRADESH","2005",280,1564,0,0,82,1367,127,1494,268,6695,1367,0,8062,102,1299,678,621,6661
"UTTARAKHAND","2005",16,63,0,0,2,48,14,62,15,200,48,0,248,0,43,14,29,205
"WEST BENGAL","2005",289,446,0,0,0,389,15,404,331,1348,389,0,1737,0,361,94,267,1376
"TOTAL (STATES)","2005",2968,6665,0,9,311,5703,289,5992,3321,22666,5703,6,28363,146,5448,1821,3627,22769
"A & N ISLANDS","2005",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"CHANDIGARH","2005",2,3,0,0,0,4,0,4,1,6,4,0,10,0,6,0,6,4
"D & N HAVELI","2005",0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,1
"DAMAN & DIU","2005",1,1,0,0,0,1,0,1,1,1,1,0,2,0,0,0,0,2
"DELHI","2005",65,114,0,0,1,95,2,97,81,737,95,0,832,0,125,40,85,707
"LAKSHADWEEP","2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2005",5,4,0,0,0,2,0,2,7,8,2,0,10,0,0,0,0,10
"TOTAL (UTs)","2005",73,122,0,0,1,102,2,104,90,755,102,0,857,0,132,40,92,725
"TOTAL (ALL-INDIA)","2005",3041,6787,0,9,312,5805,291,6096,3411,23421,5805,6,29220,146,5580,1861,3719,23494
"ANDHRA PRADESH","2006",238,519,0,0,25,426,26,452,280,972,426,0,1398,1,353,73,280,1044
"ARUNACHAL PRADESH","2006",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASSAM","2006",141,105,0,0,3,74,16,90,153,174,74,0,248,2,51,30,21,195
"BIHAR","2006",1363,1188,0,0,38,749,80,829,1684,2947,749,0,3696,1,650,138,512,3045
"CHHATTISGARH","2006",10,103,0,0,0,99,0,99,14,268,99,0,367,4,71,23,48,292
"GOA","2006",2,0,0,0,0,1,0,1,1,6,1,0,7,0,2,0,2,5
"GUJARAT","2006",5,50,0,1,1,43,4,47,6,479,43,0,522,1,34,3,31,487
"HARYANA","2006",17,255,0,0,22,215,1,216,34,458,215,0,673,2,198,69,129,473
"HIMACHAL PRADESH","2006",2,3,0,0,0,4,0,4,1,26,4,0,30,0,5,1,4,25
"JAMMU & KASHMIR","2006",2,10,0,0,1,8,0,8,3,23,8,0,31,0,2,0,2,29
"JHARKHAND","2006",232,281,0,0,0,170,25,195,318,585,170,0,755,9,255,60,195,491
"KARNATAKA","2006",77,244,2,11,7,213,8,221,80,591,213,0,804,1,283,41,242,520
"KERALA","2006",25,25,0,0,1,21,2,23,26,142,21,0,163,0,25,6,19,138
"MADHYA PRADESH","2006",127,764,0,0,2,735,7,742,147,1578,735,0,2313,7,678,280,398,1628
"MAHARASHTRA","2006",72,387,0,0,0,374,0,374,85,3039,374,0,3413,0,272,27,245,3141
"MANIPUR","2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2006",4,6,0,0,0,3,1,4,6,0,3,0,3,0,0,0,0,3
"MIZORAM","2006",0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0
"NAGALAND","2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2006",168,457,0,0,5,317,3,320,300,1006,317,0,1323,0,215,44,171,1108
"PUNJAB","2006",66,130,0,0,6,106,4,110,80,295,106,0,401,0,71,31,40,330
"RAJASTHAN","2006",60,394,0,0,87,327,1,328,39,1299,327,0,1626,7,290,127,163,1329
"SIKKIM","2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2006",80,187,0,0,1,169,4,173,93,571,169,0,740,0,164,48,116,576
"TRIPURA","2006",16,35,0,0,0,22,10,32,19,66,22,0,88,0,19,10,9,69
"UTTAR PRADESH","2006",268,1798,0,0,88,1464,175,1639,339,6661,1464,0,8125,64,1366,695,671,6695
"UTTARAKHAND","2006",15,80,0,0,5,51,9,60,30,205,51,0,256,1,33,18,15,222
"WEST BENGAL","2006",331,445,0,0,1,478,15,493,282,1376,478,0,1854,0,264,57,207,1590
"TOTAL (STATES)","2006",3321,7467,2,12,293,6069,391,6460,4021,22769,6069,0,28838,102,5301,1781,3520,23435
"A & N ISLANDS","2006",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"CHANDIGARH","2006",1,10,0,0,0,9,0,9,2,4,9,0,13,0,3,0,3,10
"D & N HAVELI","2006",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"DAMAN & DIU","2006",1,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,2
"DELHI","2006",81,137,0,0,4,134,9,143,71,707,134,0,841,0,120,47,73,721
"LAKSHADWEEP","2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2006",7,3,0,0,0,7,0,7,3,10,7,0,17,0,4,2,2,13
"TOTAL (UTs)","2006",90,151,0,0,4,151,9,160,77,724,151,0,875,0,127,49,78,748
"TOTAL (ALL-INDIA)","2006",3411,7618,2,12,297,6220,400,6620,4098,23493,6220,0,29713,102,5428,1830,3598,24183
"ANDHRA PRADESH","2007",280,613,0,0,38,573,9,582,273,1044,573,0,1617,14,542,97,445,1061
"ARUNACHAL PRADESH","2007",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ASSAM","2007",153,100,0,0,1,72,19,91,161,195,72,0,267,0,59,20,39,208
"BIHAR","2007",1684,1172,0,0,117,1028,139,1167,1572,3045,1028,0,4073,5,642,167,475,3426
"CHHATTISGARH","2007",14,100,0,0,1,106,1,107,6,292,106,0,398,1,88,23,65,309
"GOA","2007",1,2,0,0,0,0,0,0,3,5,0,0,5,0,0,0,0,5
"GUJARAT","2007",6,42,0,1,0,38,4,42,5,487,38,0,525,1,31,4,27,493
"HARYANA","2007",34,269,0,0,36,238,1,239,28,473,238,0,711,2,221,62,159,488
"HIMACHAL PRADESH","2007",1,8,0,0,1,5,0,5,3,25,5,0,30,0,4,1,3,26
"JAMMU & KASHMIR","2007",3,9,0,0,1,7,1,8,3,29,7,0,36,0,4,0,4,32
"JHARKHAND","2007",318,303,0,0,16,223,49,272,333,491,223,0,714,3,286,92,194,425
"KARNATAKA","2007",80,251,0,13,6,189,15,204,108,520,189,0,709,2,206,27,179,501
"KERALA","2007",26,27,0,0,1,27,1,28,24,138,27,0,165,0,28,4,24,137
"MADHYA PRADESH","2007",147,742,0,0,3,738,8,746,140,1628,738,0,2366,7,691,279,412,1668
"MAHARASHTRA","2007",85,436,0,1,1,376,1,377,142,3141,376,0,3517,2,286,30,256,3229
"MANIPUR","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2007",6,2,0,0,0,1,2,3,5,3,1,0,4,0,0,0,0,4
"MIZORAM","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2007",300,461,0,0,16,338,8,346,399,1108,338,0,1446,0,174,31,143,1272
"PUNJAB","2007",80,133,0,0,14,119,5,124,75,330,119,0,449,0,97,43,54,352
"RAJASTHAN","2007",39,439,0,0,94,330,2,332,52,1329,330,0,1659,3,244,118,126,1412
"SIKKIM","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2007",93,208,0,0,1,189,0,189,111,576,189,0,765,0,218,64,154,547
"TRIPURA","2007",19,36,0,0,0,21,1,22,33,69,21,0,90,0,31,11,20,59
"UTTAR PRADESH","2007",339,2076,0,0,154,1768,250,2018,243,6695,1768,0,8463,44,1472,739,733,6947
"UTTARAKHAND","2007",30,70,0,0,2,74,4,78,20,222,74,0,296,0,71,28,43,225
"WEST BENGAL","2007",282,451,0,0,0,459,20,479,254,1590,459,0,2049,0,355,46,309,1694
"TOTAL (STATES)","2007",4021,7950,0,15,503,6919,541,7460,3993,23435,6919,0,30354,84,5750,1886,3864,24520
"A & N ISLANDS","2007",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"CHANDIGARH","2007",2,1,0,0,0,2,0,2,1,10,2,0,12,0,4,3,1,8
"D & N HAVELI","2007",1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"DAMAN & DIU","2007",0,1,0,0,0,1,0,1,0,2,1,0,3,0,0,0,0,3
"DELHI","2007",71,138,0,0,1,123,7,130,78,721,123,0,844,0,139,56,83,705
"LAKSHADWEEP","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2007",3,2,0,0,0,3,0,3,2,13,3,0,16,0,4,1,3,12
"TOTAL (UTs)","2007",77,143,0,0,1,129,7,136,83,748,129,0,877,0,147,60,87,730
"TOTAL (ALL-INDIA)","2007",4098,8093,0,15,504,7048,548,7596,4076,24183,7048,0,31231,84,5897,1946,3951,25250
"ANDHRA PRADESH","2008",273,556,0,0,36,471,29,500,293,1061,471,0,1532,0,449,67,382,1083
"ARUNACHAL PRADESH","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2008",161,103,0,0,1,83,8,91,172,208,83,0,291,0,44,20,24,247
"BIHAR","2008",1572,1210,0,0,122,783,131,914,1746,3426,783,0,4209,5,689,177,512,3515
"CHHATTISGARH","2008",6,106,0,0,0,92,0,92,20,309,92,0,401,1,76,25,51,324
"GOA","2008",3,2,0,0,0,3,0,3,2,5,3,0,8,0,0,0,0,8
"GUJARAT","2008",5,27,0,2,0,27,1,28,2,493,27,0,520,2,15,1,14,503
"HARYANA","2008",28,302,0,0,32,258,7,265,33,488,258,0,746,5,238,69,169,503
"HIMACHAL PRADESH","2008",3,3,0,0,0,5,0,5,1,26,5,0,31,0,8,3,5,23
"JAMMU & KASHMIR","2008",3,21,0,0,1,15,0,15,8,32,15,0,47,1,1,0,1,45
"JHARKHAND","2008",333,266,0,0,4,219,24,243,352,425,219,0,644,16,209,55,154,419
"KARNATAKA","2008",108,259,1,19,5,244,7,251,91,501,244,0,745,2,185,24,161,558
"KERALA","2008",24,31,0,0,1,25,1,26,28,137,25,0,162,0,11,2,9,151
"MADHYA PRADESH","2008",140,805,0,0,0,790,5,795,150,1668,790,0,2458,6,693,295,398,1759
"MAHARASHTRA","2008",142,390,0,1,2,397,4,401,128,3229,397,0,3626,1,277,24,253,3348
"MANIPUR","2008",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2008",5,2,0,0,0,1,2,3,4,4,1,0,5,0,0,0,0,5
"MIZORAM","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2008",399,401,0,0,7,333,5,338,455,1272,333,0,1605,0,251,37,214,1354
"PUNJAB","2008",75,128,0,0,15,88,7,95,93,352,88,0,440,0,85,39,46,355
"RAJASTHAN","2008",52,439,0,0,90,348,3,351,50,1412,348,0,1760,10,259,121,138,1491
"SIKKIM","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2008",111,207,0,0,5,187,1,188,125,547,187,0,734,0,184,44,140,550
"TRIPURA","2008",33,16,0,0,0,31,0,31,18,59,31,0,90,0,15,2,13,75
"UTTAR PRADESH","2008",243,2237,0,0,159,1777,265,2042,279,6947,1777,0,8724,68,1719,870,849,6937
"UTTARAKHAND","2008",20,73,0,0,1,64,10,74,18,225,64,0,289,0,55,19,36,234
"WEST BENGAL","2008",254,451,0,0,0,339,11,350,355,1694,339,0,2033,0,330,40,290,1703
"TOTAL (STATES)","2008",3993,8036,1,22,481,6580,521,7101,4424,24520,6580,0,31100,117,5793,1934,3859,25190
"A & N ISLANDS","2008",1,2,0,0,0,2,0,2,1,1,2,0,3,0,0,0,0,3
"CHANDIGARH","2008",1,3,0,0,0,3,0,3,1,8,3,0,11,0,3,1,2,8
"D & N HAVELI","2008",1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"DAMAN & DIU","2008",0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,2,1
"DELHI","2008",78,129,2,0,0,115,1,116,89,705,115,0,820,0,26,13,13,794
"LAKSHADWEEP","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2008",2,2,0,0,0,0,0,0,4,12,0,0,12,0,0,0,0,12
"TOTAL (UTs)","2008",83,136,2,0,0,120,1,121,96,730,120,0,850,0,31,14,17,819
"TOTAL (ALL-INDIA)","2008",4076,8172,3,22,481,6700,522,7222,4520,25250,6700,0,31950,117,5824,1948,3876,26009
"ANDHRA PRADESH","2009",293,546,0,0,26,500,4,504,309,1083,500,0,1583,0,440,62,378,1143
"ARUNACHAL PRADESH","2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2009",172,170,0,1,7,95,23,118,216,247,95,0,342,0,44,20,24,298
"BIHAR","2009",1746,1295,0,0,136,705,201,906,1999,3515,705,0,4220,0,593,140,453,3627
"CHHATTISGARH","2009",20,128,0,0,0,136,0,136,12,324,136,0,460,3,101,31,70,356
"GOA","2009",2,3,0,0,0,2,0,2,3,8,2,0,10,0,2,0,2,8
"GUJARAT","2009",2,24,0,0,0,20,0,20,6,503,20,0,523,1,19,0,19,503
"HARYANA","2009",33,281,0,0,26,253,0,253,35,503,253,0,756,4,237,63,174,515
"HIMACHAL PRADESH","2009",1,1,0,0,0,2,0,2,0,23,2,0,25,0,4,1,3,21
